loss,accuracy,val_loss,val_accuracy
1.0114260911941528,0.4924192726612091,0.9310963153839111,0.5526315569877625
0.8691924214363098,0.617007315158844,0.8891817331314087,0.5394737124443054
0.7844246029853821,0.6552406549453735,0.8118119835853577,0.6414473652839661
0.738564133644104,0.6776533126831055,0.7857293486595154,0.6875
0.7077558040618896,0.6974291801452637,0.6724013090133667,0.7269737124443054
0.6686245799064636,0.7165458798408508,0.6706792712211609,0.7236841917037964
0.628038227558136,0.7429136633872986,0.6551987528800964,0.7039473652839661
0.613084077835083,0.7442320585250854,0.7133681774139404,0.6875
0.5972256660461426,0.7560976147651672,0.6359652876853943,0.7203947305679321
0.5608255863189697,0.7640079855918884,0.5567228198051453,0.7763158082962036
0.5394080877304077,0.7686223387718201,0.5448489785194397,0.7697368264198303
0.5404617786407471,0.781806230545044,0.5174304246902466,0.7993420958518982
0.511285126209259,0.7851022481918335,0.5727266073226929,0.7532894611358643
0.49568700790405273,0.7930125594139099,0.534845232963562,0.8026315569877625
0.4592368006706238,0.8154252171516418,0.5237324237823486,0.7763158082962036
0.4770902097225189,0.8035597205162048,0.4436611533164978,0.8552631735801697
0.4458106756210327,0.8147660493850708,0.4181450307369232,0.8388158082962036
0.4293800890445709,0.8352010846138,0.6736415028572083,0.7138158082962036
0.4275568127632141,0.8213579654693604,0.3859436810016632,0.8552631735801697
0.3927587568759918,0.845748245716095,0.374648779630661,0.8585526347160339
0.39033159613609314,0.8503625988960266,0.37717920541763306,0.8486841917037964
0.37018561363220215,0.8477258086204529,0.4144262969493866,0.8355263471603394
0.372833788394928,0.8569545745849609,0.3692195415496826,0.8618420958518982
0.3448755443096161,0.8675016760826111,0.3545118272304535,0.8881579041481018
0.33555716276168823,0.8740936517715454,0.3838229477405548,0.8453947305679321
0.3191659450531006,0.8767304420471191,0.5881690382957458,0.7664473652839661
0.3102986812591553,0.8826631903648376,0.3054227828979492,0.8815789818763733
0.28980714082717896,0.8859592080116272,0.33070605993270874,0.8717105388641357
0.29842349886894226,0.889255166053772,0.2574094235897064,0.9078947305679321
0.2882067859172821,0.8912327289581299,0.27325937151908875,0.8980263471603394
0.2662462592124939,0.8932103514671326,0.20216389000415802,0.9276315569877625
0.26679426431655884,0.9017798900604248,0.2172713577747345,0.9243420958518982
0.24232086539268494,0.909690260887146,0.24571752548217773,0.9243420958518982
0.2417401373386383,0.9063942432403564,0.3127804696559906,0.8947368264198303
0.23624873161315918,0.9136453866958618,0.23063230514526367,0.9177631735801697
0.20851904153823853,0.9222149848937988,0.42430219054222107,0.8585526347160339
0.22548450529575348,0.9195781946182251,0.222263365983963,0.9210526347160339
0.22058889269828796,0.9235333204269409,0.21411067247390747,0.9046052694320679
0.20700280368328094,0.9202373623847961,0.19462993741035461,0.9342105388641357
0.19148625433444977,0.9288069009780884,0.1669161468744278,0.9276315569877625
0.18902947008609772,0.9321029186248779,0.16867682337760925,0.9407894611358643
0.17503640055656433,0.9347396492958069,0.13708993792533875,0.9703947305679321
0.1868518441915512,0.9248517155647278,0.2018657773733139,0.9243420958518982
0.1713990867137909,0.9406724572181702,0.1317274272441864,0.9539473652839661
0.1636483371257782,0.941990852355957,0.21951642632484436,0.9177631735801697
0.1623837649822235,0.9452868103981018,0.1579297035932541,0.9309210777282715
0.16399231553077698,0.9393540620803833,0.11111138015985489,0.9572368264198303
0.15612752735614777,0.9400132298469543,0.1327572762966156,0.9473684430122375
0.15314854681491852,0.9452868103981018,0.13576185703277588,0.9539473652839661
0.15145368874073029,0.9499011635780334,0.10701706260442734,0.9703947305679321
